ID,body_weight,age,mature,sex,canine_length,femur_length,testicle_length,nipple_length,trunk_length,testicle_volume,DATE,DOB,DOM
PIC,3.86,35.81,-41.69,M,0,15,14.3,,28,1,2/27/2019,3/4/2016,8/19/2022
PIC,3.76,38.54,-38.97,M,4.2175,15.25,19.2,,28,2,5/21/2019,3/4/2016,8/19/2022
PIC,4.3,41.53,-35.98,M,4.0875,16,20.7,,29,1.5,8/20/2019,3/4/2016,8/19/2022
PIC,4.36,44.71,-32.79,M,3.83,16.5,19.5,,30.5,1.5,11/25/2019,3/4/2016,8/19/2022
PIC,4.68,47.91,-29.56,M,3.96,16.5,20.1,,31.5,1,3/2/2020,3/4/2016,8/19/2022
PIC,4.82,50.9,-26.57,M,4.05,17,23.1,,32,2,6/1/2020,3/4/2016,8/19/2022
PIC,5.2,54.35,-23.12,M,3.6375,17,22.8,,32.5,2,9/14/2020,3/4/2016,8/19/2022
PIC,5.6,56.95,-20.53,M,3.675,17.5,24.3,,33.5,3,12/2/2020,3/4/2016,8/19/2022
PIC,6,60.24,-17.26,M,3.3,18,24.5,,34,3,3/12/2021,3/4/2016,8/19/2022
PIC,6.4,63.92,-13.58,M,3.95,18.5,31.2,,36.5,6,7/2/2021,3/4/2016,8/19/2022
PIC,7.35,67.14,-10.36,M,6.15,19,43.9,,35.5,25,10/8/2021,3/4/2016,8/19/2022
PIC,7.69,70.83,-6.67,M,10.42,19,46.8,,36,17.5,1/28/2022,3/4/2016,8/19/2022
PIC,9.25,74.28,-3.22,M,12.56,19,42.4,,38,20,5/13/2022,3/4/2016,8/19/2022
PIC,10.3,77.5,0,M,14.31,23.75,49.3,,40,25,8/19/2022,3/4/2016,8/19/2022
PIC,9.15,81.5,4.01,M,15.13,26,50,,41,25,12/19/2022,3/4/2016,8/19/2022
PIC,9.9,83.02,5.52,M,15.4425,26.75,50,,39.5,25,2/3/2023,3/4/2016,8/19/2022
PIC,11.3,87.16,9.67,M,16.62,26.5,45.9,,40,20,6/9/2023,3/4/2016,8/19/2022
QUA,3.54,37.88,-18.55,M,1.215,15.5,17.5,,29,1,2/27/2019,1/1/2016,9/14/2020
QUA,3.86,40.61,-15.82,M,3.8575,15.5,19.9,,28.5,2,5/21/2019,1/1/2016,9/14/2020
QUA,4.44,43.6,-12.84,M,4.095,17,24.9,,30.5,3,8/20/2019,1/1/2016,9/14/2020
QUA,4.74,46.78,-9.64,M,3.65,17.5,23.3,,32.5,3.5,11/25/2019,1/1/2016,9/14/2020
QUA,5.34,49.98,-6.43,M,3.805,17,26.1,,32,2.5,3/2/2020,1/1/2016,9/14/2020
QUA,5.8,52.97,-3.44,M,3.0675,18.75,29,,34,5,6/1/2020,1/1/2016,9/14/2020
QUA,7.2,56.42,0,M,5.85,19.25,32.8,,34.5,10,9/14/2020,1/1/2016,9/14/2020
OLI,3.74,37.88,-21.14,M,0,15.5,19.6,,29.5,1,2/27/2019,1/1/2016,12/2/2020
OLI,3.82,40.61,-18.42,M,4.2625,15.75,21.3,,29.5,2,5/21/2019,1/1/2016,12/2/2020
OLI,4.76,43.6,-15.43,M,3.926666667,16.25,25.4,,31.5,2,8/20/2019,1/1/2016,12/2/2020
OLI,5.22,46.78,-12.25,M,3.64,17.5,33.8,,32,5,11/25/2019,1/1/2016,12/2/2020
OLI,5.7,49.98,-9.02,M,3.543333333,17,35,,34,10,3/2/2020,1/1/2016,12/2/2020
OLI,6.48,52.97,-6.03,M,3.1,18,37.8,,35,11,6/1/2020,1/1/2016,12/2/2020
OLI,7.5,56.42,-2.59,M,4.31,18.75,47.4,,36.5,25,9/14/2020,1/1/2016,12/2/2020
OLI,7.7,59.01,0,M,4.45,18.5,50.5,,37,20,12/2/2020,1/1/2016,12/2/2020
OLI,8.15,62.31,3.29,M,7.475,19.75,40,,35.5,25,3/12/2021,1/1/2016,12/2/2020
OLI,9.45,65.99,6.97,M,10.5,20,39.5,,39,20,7/2/2021,1/1/2016,12/2/2020
OLI,9.5,69.21,10.19,M,13.3,20,45.3,,37.5,25,10/8/2021,1/1/2016,12/2/2020
OLI,8.75,73.55,14.52,M,13.975,19,46.8,,37.5,25,2/17/2022,1/1/2016,12/2/2020
OLI,8.8,76.58,17.54,M,15.05,19,41.9,,37.5,20,5/20/2022,1/1/2016,12/2/2020
OLI,10.2,79.57,20.53,M,16.6575,21.25,47.1,,41.5,25,8/19/2022,1/1/2016,12/2/2020
OLI,10,83.01,23.98,M,17.29,21.75,53,,43,25,12/2/2022,1/1/2016,12/2/2020
OLI,10.08,85.09,26.05,M,17.7525,24.25,48.6,,38,22.5,2/3/2023,1/1/2016,12/2/2020
OLI,10.4,89.23,30.19,M,18.04,24,44.1,,40,20,6/9/2023,1/1/2016,12/2/2020
ROS,4.08,37.88,-28.12,M,0,15.75,11.4,,28.4,0,2/27/2019,1/1/2016,7/2/2021
ROS,4.22,40.61,-25.39,M,3.9625,15.45,18,,28.5,1,5/21/2019,1/1/2016,7/2/2021
ROS,4.9,43.6,-22.4,M,3.935,16.5,19.1,,31,1,8/20/2019,1/1/2016,7/2/2021
ROS,5.18,46.78,-19.22,M,3.6775,17.5,17.9,,32,1,11/25/2019,1/1/2016,7/2/2021
ROS,5.92,49.98,-15.99,M,3.96,18,22.9,,34,2,3/2/2020,1/1/2016,7/2/2021
ROS,6.16,52.97,-13,M,3.8075,18.75,24.8,,35,3,6/1/2020,1/1/2016,7/2/2021
ROS,7.5,56.42,-9.57,M,3.62,20.25,30,,37,7.3,9/14/2020,1/1/2016,7/2/2021
ROS,7.7,59.01,-6.97,M,3.55,20.5,40.4,,36,20,12/2/2020,1/1/2016,7/2/2021
ROS,9,62.31,-3.68,M,3.575,21,40.4,,37,20,3/12/2021,1/1/2016,7/2/2021
ROS,10.3,65.99,0,M,3.4,21,44.6,,39,25,7/2/2021,1/1/2016,7/2/2021
ROS,11.8,69.21,3.22,M,5.675,24.25,45.9,,39.5,25,10/8/2021,1/1/2016,7/2/2021
ROS,12.1,73.55,7.56,M,8.0975,22.75,50.8,,40,25,2/17/2022,1/1/2016,7/2/2021
ROS,14.4,76.51,10.52,M,11.6075,22.75,55,,40,25,5/18/2022,1/1/2016,7/2/2021
ROS,14.65,79.43,13.45,M,14.665,25.5,50.5,,41,25,8/15/2022,1/1/2016,7/2/2021
ROS,16.3,83.01,17.03,M,15.84,27.5,57.5,,43,25,12/2/2022,1/1/2016,7/2/2021
ROS,15.1,85.09,19.1,M,17.8925,30.25,55.8,,45,25,2/3/2023,1/1/2016,7/2/2021
ROS,15.3,89.23,23.24,M,17.0175,28,55,,46.5,25,6/9/2023,1/1/2016,7/2/2021
VIK,4,36.47,-18.55,M,0,16,21.9,,30,2,2/27/2019,2/13/2016,9/14/2020
VIK,4.36,39.2,-15.82,M,3.4525,16.25,22.6,,31,2.5,5/21/2019,2/13/2016,9/14/2020
VIK,5,42.18,-12.84,M,3.5875,17.75,26,,32,3,8/20/2019,2/13/2016,9/14/2020
VIK,5.42,45.37,-9.64,M,3.2625,17.5,39.2,,30.5,9,11/25/2019,2/13/2016,9/14/2020
VIK,5.92,48.57,-6.43,M,3.185,18,42.3,,34,17.5,3/2/2020,2/13/2016,9/14/2020
VIK,5.84,51.56,-3.44,M,3.315,19,40.1,,34,17.5,6/1/2020,2/13/2016,9/14/2020
VIK,7.5,55.01,0,M,4.8375,19.25,37.8,,38,12,9/14/2020,2/13/2016,9/14/2020
VIK,8.6,57.6,2.59,M,8,20.5,58.2,,38,7.25,12/2/2020,2/13/2016,9/14/2020
VIK,8.3,60.9,5.88,M,10.725,20.5,52.4,,40,25,3/12/2021,2/13/2016,9/14/2020
VIK,9.35,64.58,9.57,M,11.9,20.5,51,,40.5,25,7/2/2021,2/13/2016,9/14/2020
VIK,9.5,67.8,12.77,M,13.325,23,52.7,,35.5,25,10/8/2021,2/13/2016,9/14/2020
VIK,9.1,71.48,16.46,M,13.625,20.75,53.8,,39.5,25,1/28/2022,2/13/2016,9/14/2020
VIK,9.26,74.93,19.91,M,14.715,20.75,58.1,,41,25,5/13/2022,2/13/2016,9/14/2020
VIK,11.2,78.15,23.12,M,14.9575,22.25,47.6,,41,20,8/19/2022,2/13/2016,9/14/2020
VIK,10.8,81.31,26.28,M,16.08,22.5,55,,41,25,11/23/2022,2/13/2016,9/14/2020
VIK,10.9,83.68,28.65,M,15.8375,24.5,59.7,,40,25,2/3/2023,2/13/2016,9/14/2020
VIK,10.7,87.95,32.92,M,15.325,24,48.6,,41,22.5,6/13/2023,2/13/2016,9/14/2020
SON,4.06,33.51,-21.14,M,0,16,21.8,,29.5,2,2/27/2019,5/13/2016,12/2/2020
SON,4.26,36.24,-18.42,M,4.0575,16.25,22.5,,30,2.5,5/21/2019,5/13/2016,12/2/2020
SON,5.32,39.23,-15.43,M,4.1225,16.5,27.7,,30,3,8/20/2019,5/13/2016,12/2/2020
SON,6,42.41,-12.25,M,4.1125,17,31.9,,33.5,6,11/25/2019,5/13/2016,12/2/2020
SON,6.68,45.62,-9.02,M,4.145,18,39.6,,33.5,17.5,3/2/2020,5/13/2016,12/2/2020
SON,7.06,48.6,-6.03,M,4.18,19,42,,35.5,15,6/1/2020,5/13/2016,12/2/2020
SON,7.7,52.05,-2.59,M,9.9875,19.5,38.2,,35.5,12,9/14/2020,5/13/2016,12/2/2020
SON,9.4,54.65,0,M,12,20.5,47.8,,37.5,7.25,12/2/2020,5/13/2016,12/2/2020
SON,9.8,57.94,3.29,M,14.05,19.75,47.8,,38,25,3/12/2021,5/13/2016,12/2/2020
SON,10.8,61.62,6.97,M,14.825,19.5,45.7,,39.5,25,7/2/2021,5/13/2016,12/2/2020
SON,10.85,64.84,10.19,M,14.9,18.5,46.9,,36,25,10/8/2021,5/13/2016,12/2/2020
SON,10.1,68.53,13.86,M,14.505,19.5,57.3,,35,25,1/28/2022,5/13/2016,12/2/2020
SON,11.34,71.98,17.31,M,14.73,21.5,57.3,,38,25,5/13/2022,5/13/2016,12/2/2020
SON,12.16,75.2,20.53,M,14.64,22,56.4,,39,25,8/19/2022,5/13/2016,12/2/2020
SON,11.9,78.65,23.98,M,14.99,23,59.5,,39,25,12/2/2022,5/13/2016,12/2/2020
SON,13.4,80.72,26.05,M,15.015,24.25,55,,37.5,25,2/3/2023,5/13/2016,12/2/2020
SON,14,84.83,30.16,M,15.33,24,59.3,,41,25,6/8/2023,5/13/2016,12/2/2020
UNI,4.62,32.43,-12.11,F,0,16.75,,6.4,30.4,,2/27/2019,6/15/2016,3/2/2020
UNI,4.4,35.15,-9.38,F,3.2175,16.25,,6.9,31,,5/21/2019,6/15/2016,3/2/2020
UNI,4.72,38.14,-6.39,F,3.47,17,,9.7,32.5,,8/20/2019,6/15/2016,3/2/2020
UNI,5,41.33,-3.21,F,3.0475,18.5,,11.2,33,,11/25/2019,6/15/2016,3/2/2020
UNI,5.16,44.53,0,F,2.8275,17.5,,11.1,34,,3/2/2020,6/15/2016,3/2/2020
UNI,4.98,47.52,2.98,F,3.24,17.5,,9.9,35,,6/1/2020,6/15/2016,3/2/2020
UNI,5.3,50.97,6.43,F,3.33,18,,10.7,35,,9/14/2020,6/15/2016,3/2/2020
UNI,5.75,53.56,9.02,F,3.8,19.5,,13.7,36,,12/2/2020,6/15/2016,3/2/2020
UNI,5.5,56.86,12.31,F,4.8,19.5,,13.5,36.5,,3/12/2021,6/15/2016,3/2/2020
UNI,5.4,60.54,15.99,F,5.225,19,,12.3,38,,7/2/2021,6/15/2016,3/2/2020
UNI,6.15,63.76,19.21,F,5.45,18.5,,10.9,35.5,,10/8/2021,6/15/2016,3/2/2020
UNI,5.93,67.44,22.89,F,5.795,17.75,,11.6,34.5,,1/28/2022,6/15/2016,3/2/2020
UNI,5.77,70.89,26.34,F,6.045,18.25,,11.7,34.5,,5/13/2022,6/15/2016,3/2/2020
UNI,6.31,74.11,29.56,F,6.2425,19.5,,13,35,,8/19/2022,6/15/2016,3/2/2020
UNI,6,77.56,33.01,F,5.5475,22,,13,35,,12/2/2022,6/15/2016,3/2/2020
UNI,5.4,79.64,35.09,F,6.2525,22.75,,10.4,33,,2/3/2023,6/15/2016,3/2/2020
UNI,5.7,83.48,38.93,F,6.165,23,,10.1,33,,5/31/2023,6/15/2016,3/2/2020
TRI,3.82,31.21,-18.55,F,1.46,15.75,,4.9,30.8,,2/27/2019,7/22/2016,9/14/2020
TRI,3.92,33.94,-15.82,F,4.1175,14.5,,5.5,31.5,,5/21/2019,7/22/2016,9/14/2020
TRI,4.22,36.93,-12.84,F,4.1225,16.5,,8.1,31,,8/20/2019,7/22/2016,9/14/2020
TRI,4.26,40.11,-9.64,F,4.675,16,,9.3,33.5,,11/25/2019,7/22/2016,9/14/2020
TRI,4.58,43.32,-6.43,F,5.825,15.5,,8.3,33.5,,3/2/2020,7/22/2016,9/14/2020
TRI,4.5,46.31,-3.44,F,6.92,16.75,,8.3,34.5,,6/1/2020,7/22/2016,9/14/2020
TRI,4.6,49.75,0,F,7.0375,17,,8.6,36,,9/14/2020,7/22/2016,9/14/2020
TRI,5.25,52.35,2.59,F,7.275,17.25,,9.3,36,,12/2/2020,7/22/2016,9/14/2020
TRI,5,55.64,5.88,F,7.475,18,,8.8,36,,3/12/2021,7/22/2016,9/14/2020
TRI,5.25,59.32,9.57,F,7.525,17.5,,8.8,38,,7/2/2021,7/22/2016,9/14/2020
TRI,6,62.54,12.77,F,6.5,17.5,,7.6,35.5,,10/8/2021,7/22/2016,9/14/2020
TRI,6,66.23,16.46,F,6.965,17.5,,9.1,35,,1/28/2022,7/22/2016,9/14/2020
TRI,5.7,70.01,20.23,F,7.29,17.5,,9.1,36.5,,5/23/2022,7/22/2016,9/14/2020
TRI,5.89,72.9,23.12,F,7.09,19.25,,9.2,35,,8/19/2022,7/22/2016,9/14/2020
TRI,5.9,76.35,26.57,F,7.1475,22,,6.5,35.5,,12/2/2022,7/22/2016,9/14/2020
TRI,6.1,78.42,28.65,F,7.1125,23,,7.4,37,,2/3/2023,7/22/2016,9/14/2020
TRI,5.9,82.56,32.79,F,6.845,22.25,,7.4,35,,6/9/2023,7/22/2016,9/14/2020
