ID,session,mature,age,sex,hemi,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra
OLI,1,-22.3,37.6,M,R,1.619323,1.723135,1.533985,1.458259,1.204392,1.153832,1.263265
OLI,2,-18.3,41.6,M,R,1.490995,1.722028,1.449649,1.418751,1.237957,1.30698,1.212568
OLI,3,-14.8,45.1,M,R,1.031773,1.055418,1.43352,1.569814,1.385487,1.319195,1.29722
OLI,4,-12,47.9,M,R,1.658315,1.686287,1.517574,1.41393,1.258674,1.280948,1.244516
OLI,5,-8.8,51.1,M,R,1.652589,1.647212,1.584165,1.44441,1.266518,1.325823,1.258775
OLI,6,-5.8,54.1,M,R,1.757325,1.85391,1.476541,1.427945,1.28024,1.361749,1.382194
OLI,7,-2.5,57.4,M,R,1.75178,1.661553,1.539008,1.419129,1.26662,1.319125,1.276052
OLI,8,0.5,60.4,M,R,1.549812,1.66203,1.479421,1.399639,1.258228,1.25395,1.246642
OLI,9,4.6,64.5,M,R,1.893815,1.695754,1.51187,1.407227,1.259878,1.240969,1.330057
OLI,10,6.7,66.6,M,R,1.696617,1.712421,1.450298,1.33672,1.202905,1.321599,1.25955
OLI,11,10.1,70,M,R,1.766689,1.781673,1.499473,1.416631,1.28424,1.319952,1.267453
PIC,1,-43.1,35.5,M,L,1.873848,1.915175,1.625176,1.626446,1.307485,1.242102,1.358798
PIC,2,-39.2,39.5,M,L,1.818915,1.810561,1.649839,1.630015,1.330948,1.20793,1.454915
PIC,3,-35.7,43,M,L,1.387425,1.817887,1.546602,1.614799,1.404532,1.276143,1.541188
PIC,4,-32.8,45.8,M,L,1.762755,1.922019,1.681757,1.696605,1.361788,1.333277,1.473839
PIC,5,-29.6,49.1,M,L,1.663927,1.969005,1.624031,1.611946,1.309055,1.322081,1.411267
PIC,6,-26.5,52.1,M,L,1.645564,1.894928,1.645764,1.625613,1.344725,1.260556,1.398453
PIC,7,-23.3,55.3,M,L,1.945877,1.825962,1.679297,1.637134,1.339583,1.299226,1.404516
PIC,8,-20.3,58.3,M,L,1.850398,1.911432,1.663448,1.614887,1.351539,1.266648,1.37784
PIC,9,-15.9,62.8,M,L,1.854765,1.865013,1.709541,1.685076,1.345667,1.276744,1.398998
PIC,10,-14.1,64.5,M,L,1.767663,1.927079,1.612227,1.578671,1.292568,1.254278,1.403407
PIC,11,-10.7,67.9,M,L,1.879913,1.889656,1.621459,1.598555,1.319652,1.299094,1.434177
QUA,1,-19.7,37.6,M,R,1.717848,1.891477,1.578204,1.533104,1.283302,1.088768,1.290643
QUA,2,-15.7,41.6,M,R,1.685014,1.73833,1.568883,1.534041,1.293628,1.055192,1.216027
QUA,3,-12.2,45.1,M,R,0.7649713,0.8719807,1.434804,1.534214,1.415455,1.137837,1.326003
QUA,4,-9.3,47.9,M,R,1.776063,1.873989,1.65848,1.578653,1.299567,1.165859,1.278095
QUA,5,-6.1,51.2,M,R,1.510063,1.760535,1.595286,1.611678,1.299248,1.179108,1.345038
QUA,6,-3.2,54.1,M,R,1.682286,2.024606,1.556194,1.521395,1.329867,1.13829,1.30921
QUA,7,0.1,57.4,M,R,1.683063,1.780631,1.580232,1.573158,1.372951,1.140502,1.287661
ROS,1,-29.4,37.6,M,L,1.647511,1.995094,1.60057,1.557993,1.350718,1.165655,1.377917
ROS,2,-25.4,41.6,M,L,1.211043,1.627859,1.476627,1.45834,1.314949,1.092754,1.355009
ROS,3,-21.9,45.1,M,L,1.493648,2.134476,1.733026,1.724077,1.511144,1.27908,1.465828
ROS,4,-19.1,47.9,M,L,1.718711,2.011551,1.652936,1.539852,1.353769,1.243459,1.435837
ROS,5,-15.8,51.2,M,L,1.555215,1.868733,1.644647,1.555328,1.372285,1.28758,1.341609
ROS,6,-12.7,54.2,M,L,0.8245171,0.966414,1.461815,1.509644,1.421811,1.164477,1.413499
ROS,7,-9.5,57.4,M,L,1.891123,1.919166,1.662229,1.534002,1.325033,1.191561,1.437572
ROS,8,-6.6,60.4,M,L,1.857066,2.048101,1.66938,1.525825,1.385139,1.19971,1.412167
ROS,9,-2.5,64.5,M,L,1.896094,1.973672,1.619038,1.484124,1.381178,1.287608,1.407202
ROS,10,-0.4,66.6,M,L,1.840837,1.985585,1.670024,1.470646,1.385318,1.220053,1.419827
ROS,11,3,70,M,L,1.715613,1.656926,1.524012,1.412628,1.321638,1.135613,1.388609
SON,1,-22.3,33.2,M,R,1.686252,1.69495,1.553452,1.487524,1.216293,1.19231,1.310743
SON,2,-18.3,37.1,M,R,1.340692,1.499891,1.442456,1.457295,1.205912,1.204253,1.223931
SON,3,-14.8,40.7,M,R,1.220477,1.672261,1.433818,1.483208,1.22684,1.247477,1.325847
SON,4,-12,43.5,M,R,1.788195,1.907537,1.58281,1.491899,1.225104,1.305477,1.328583
SON,5,-8.8,46.7,M,R,1.75821,1.792337,1.566176,1.514867,1.255944,1.233555,1.29589
SON,6,-5.6,49.8,M,R,1.643397,1.694743,1.496703,1.490392,1.211779,1.261949,1.278117
SON,7,-2.5,53,M,R,1.720635,1.801103,1.540934,1.517787,1.277414,1.265861,1.270846
SON,8,0.5,56,M,R,1.929984,1.682275,1.598202,1.47506,1.247442,1.318888,1.3145
SON,9,3.5,59,M,R,1.566382,1.702099,1.477669,1.442147,1.197546,1.27457,1.273918
SON,10,6.7,62.2,M,R,1.859979,1.812608,1.532401,1.477253,1.227235,1.287156,1.247152
SON,11,10.1,65.6,M,R,1.573167,1.695765,1.475918,1.427939,1.223083,1.256626,1.275187
TRI,1,-19.7,30.8,F,L,1.854249,1.828607,1.647008,1.609869,1.322071,1.312822,1.282324
TRI,2,-15.7,34.8,F,L,1.636423,1.889125,1.585424,1.58758,1.35076,1.314791,1.323326
TRI,3,-12.2,38.3,F,L,1.588189,1.813565,1.627978,1.626075,1.358707,1.363602,1.28999
TRI,4,-9.3,41.2,F,L,1.808139,1.738191,1.643122,1.563089,1.338273,1.337764,1.30108
TRI,5,-6.1,44.4,F,L,1.74271,1.831978,1.647728,1.56755,1.34767,1.38144,1.284328
TRI,6,-3.2,47.3,F,L,1.712882,1.843383,1.635854,1.564506,1.327163,1.365443,1.280642
TRI,7,0.2,50.7,F,L,1.861435,1.915648,1.694464,1.642219,1.362956,1.36783,1.338649
TRI,8,3.2,53.7,F,L,1.833585,1.814585,1.659275,1.614502,1.360653,1.322496,1.306167
TRI,9,7.2,57.7,F,L,1.848364,1.795747,1.649576,1.574377,1.353108,1.33241,1.333709
TRI,10,9.3,59.8,F,L,1.767171,1.917721,1.593537,1.560003,1.331593,1.320571,1.293825
TRI,11,12.7,63.2,F,L,1.728923,1.755476,1.523462,1.495504,1.334034,1.368665,1.329611
UNI,1,-13.1,32.1,F,R,1.672251,1.715518,1.530413,1.392855,1.21758,1.277272,1.395185
UNI,2,-9.2,36,F,R,1.347291,1.811162,1.494558,1.395689,1.211278,1.213422,1.350856
UNI,3,-5.6,39.6,F,R,1.517773,1.726936,1.590999,1.4032,1.230688,1.268541,1.323174
UNI,4,-2.8,42.4,F,R,1.557316,1.763719,1.557076,1.412528,1.188212,1.258705,1.336292
UNI,5,0.4,45.6,F,R,1.68129,1.873067,1.490287,1.388378,1.217499,1.285226,1.2927
UNI,6,3.5,48.7,F,R,1.580884,1.790271,1.551755,1.390791,1.247316,1.230132,1.379859
UNI,7,6.7,51.9,F,R,1.786106,1.821092,1.577409,1.427391,1.238494,1.266698,1.39326
UNI,8,9.7,54.9,F,R,1.600665,1.884286,1.533992,1.433706,1.23607,1.319342,1.417168
UNI,9,13.7,58.9,F,R,1.535366,1.929536,1.541927,1.419923,1.253637,1.252612,1.396727
UNI,10,15.9,61.1,F,R,1.076948,1.805259,1.540727,1.458523,1.266259,1.29556,1.433014
UNI,11,19.2,64.4,F,R,1.684019,1.778401,1.522901,1.374617,1.200173,1.267181,1.374795
VIK,1,-19.7,36.2,M,R,1.833972,1.943947,1.595473,1.522398,1.249133,1.198377,1.265852
VIK,2,-15.7,40.1,M,R,1.446129,1.518488,1.464141,1.458687,1.209931,1.230139,1.342243
VIK,3,-12.2,43.6,M,R,1.490566,1.728806,1.490944,1.481932,1.310158,1.241145,1.366248
VIK,4,-9.4,46.5,M,R,1.742012,1.858597,1.600443,1.509146,1.291787,1.210501,1.333917
VIK,5,-6.1,49.7,M,R,1.533586,1.682481,1.542175,1.510451,1.279349,1.250056,1.327554
VIK,6,-3.1,52.7,M,R,1.37452,1.750127,1.543115,1.545603,1.298528,1.279626,1.311923
VIK,7,0.1,56,M,R,1.722861,1.745899,1.57068,1.515763,1.255323,1.257105,1.392113
VIK,8,3.1,59,M,R,1.932299,1.924621,1.62627,1.559396,1.27465,1.252123,1.377132
VIK,9,7.2,63,M,R,1.818557,1.944122,1.572732,1.481743,1.255858,1.262908,1.311542
VIK,10,9.3,65.2,M,R,1.814943,1.800178,1.573813,1.501834,1.262472,1.228919,1.305527
VIK,11,12.7,68.5,M,R,1.774489,1.754057,1.535481,1.433382,1.226603,1.273796,1.310509
